username,repo_name,stars,repo_url
bitwarden,server,13900,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,12200,https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,12000,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11500,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,8800,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,7000,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6700,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6300,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3600,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2900,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2600,https://github.com/smartstore/SmartStoreNET
mjebrahimi,Awesome-Microservices-DotNet,2500,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
serenity-is,Serenity,2500,https://github.com/serenity-is/Serenity
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
loic-sharma,BaGet,2500,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1200,https://github.com/MarimerLLC/csla
milanm,DotNet-Developer-Roadmap,1100,https://github.com/milanm/DotNet-Developer-Roadmap
smartstore,Smartstore,988,https://github.com/smartstore/Smartstore
