username,repo_name,stars,repo_url
electron,electron,111000,https://github.com/electron/electron
puppeteer,puppeteer,86100,https://github.com/puppeteer/puppeteer
microsoft,playwright,59300,https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,45300,https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,44600,https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,27200,https://github.com/jaywcjlove/linux-command
ovity,octotree,22600,https://github.com/ovity/octotree
segment-boneyard,nightmare,19500,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14900,https://github.com/checkly/headless-recorder
google,WebFundamentals,13900,https://github.com/google/WebFundamentals
GoogleChrome,chrome-extensions-samples,13800,https://github.com/GoogleChrome/chrome-extensions-samples
schickling,chromeless,13200,https://github.com/schickling/chromeless
gildas-lormeau,SingleFile,13000,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11800,https://github.com/casesandberg/react-color
crimx,ext-saladict,11400,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,11100,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,10100,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,9600,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,8400,https://github.com/ajayyy/SponsorBlock
uBlock-LLC,uBlock,8200,https://github.com/uBlock-LLC/uBlock
